1-Mar	chr1	+	VPS33A	chr12	-
1-Mar	chr4	+	SKP1	chr5	-
1-Mar	chr4	-	PTPN13	chr4	+
1-Sep-01	chr4	+	FAM198B	chr4	-
1-Sep-01	chr4	+	GARNL3	chr9	+
1-Sep-01	chr4	+	TMEM196	chr7	-
1-Sep-01	chr4	+	WWC2	chr4	+
1-Sep-04	chr7	-	UPP1	chr7	+
10-Sep	chr2	-	LRCH1	chr13	+
10-Sep	chr2	-	PLCD4	chr2	+
10-Sep	chr2	-	SH3RF3	chr2	+
11-Sep	chr4	+	11-Sep	chr4	+
11-Sep	chr4	+	RPL3	chr22	-
11-Sep	chr4	+	SYT11	chr1	+
11-Sep	chr4	-	OLFML2A	chr9	-
2-Mar	chr1	+	HLX	chr1	+
2-Mar	chr1	+	RAB3IP	chr12	+
2-Mar	chr19	+	OR7G2	chr19	-
2-Mar	chr19	+	PLVAP	chr19	-
2-Mar	chr19	+	TNNT3	chr11	+
2-Sep	chr2	+	RHOH	chr4	+
2-Sep	chr2	-	2-Sep	chr2	+
3-Mar	chr5	-	HTR4	chr5	-
3-Mar	chr5	-	OPCML	chr11	-
3-Mar	chr5	-	SRFBP1	chr5	+
3-Sep	chr22	+	EIF2AK2	chr2	-
3-Sep	chr22	+	RALGAPA1	chr14	-
5-Sep	chr22	+	LOC100507412	chr?	+
5-Sep	chr22	+	OS9	chr12	+
6-Mar	chr5	+	BASP1	chr5	+
6-Mar	chr5	+	GALNT18	chr11	-
6-Mar	chr5	+	GALNTL4	chr11	-
6-Mar	chr5	+	HSPA9	chr5	-
6-Mar	chr5	+	MTRR	chr5	+
6-Mar	chr5	+	NDUFA6	chr22	-
6-Mar	chr5	+	UVRAG	chr11	+
6-Mar	chr5	+	ZFAND3	chr6	+
6-Sep	chrX	+	GNB5	chr15	-
6-Sep	chrX	-	CUL4B	chrX	-
6-Sep	chrX	-	RPL39	chrX	-
6-Sep	chrX	-	UPF3B	chrX	-
7-Mar	chr2	+	ERMARD	chr6	+
7-Sep	chr7	+	ARPC3	chr12	-
7-Sep	chr7	+	GLI3	chr7	-
7-Sep	chr7	+	ICA1	chr7	-
8-Mar	chr10	-	DEFB119	chr20	-
8-Mar	chr10	-	MSMB	chr10	+
8-Mar	chr10	-	MSMB	chr10	-
8-Mar	chr10	-	NCAM2	chr21	+
8-Sep	chr5	-	MEIKIN	chr5	-
9-Mar	chr12	+	ASAH1	chr8	-
9-Mar	chr12	+	CD2AP	chr6	+
9-Mar	chr12	+	KCNC2	chr12	-
9-Mar	chr12	+	OS9	chr12	+
9-Mar	chr12	+	SLCO1B1	chr12	+
9-Mar	chr12	+	SUCLG2P2	chr12	+
9-Mar	chr12	+	YEATS4	chr12	+
9-Mar	chr12	-	9-Mar	chr12	+
9-Sep	chr17	+	ARSG	chr17	+
9-Sep	chr17	+	BAIAP2	chr17	+
9-Sep	chr17	+	BCAS3	chr17	+
9-Sep	chr17	+	C17orf97	chr17	+
9-Sep	chr17	+	COL7A1	chr3	-
9-Sep	chr17	+	CRAT	chr9	-
9-Sep	chr17	+	DNAH17	chr17	-
9-Sep	chr17	+	DNAI2	chr17	+
9-Sep	chr17	+	JMJD6	chr17	-
9-Sep	chr17	+	KRT32	chr17	-
9-Sep	chr17	+	LGALS3BP	chr17	-
9-Sep	chr17	+	LPP	chr3	+
9-Sep	chr17	+	METTL2A	chr17	+
9-Sep	chr17	+	MGAT5B	chr17	+
9-Sep	chr17	+	MPO	chr17	-
9-Sep	chr17	+	MRPL38	chr17	-
9-Sep	chr17	+	MYH13	chr17	-
9-Sep	chr17	+	NARF	chr17	+
9-Sep	chr17	+	NPRL3	chr16	-
9-Sep	chr17	+	RAB37	chr17	+
9-Sep	chr17	+	SEC14L1	chr17	+
9-Sep	chr17	+	SMG6	chr17	-
9-Sep	chr17	+	TANC2	chr17	+
9-Sep	chr17	+	THBS1	chr15	-
9-Sep	chr17	+	UBE2L5P	chr13	+
9-Sep	chr17	+	UBTF	chr17	-
9-Sep	chr17	+	VAV1	chr19	+
9-Sep	chr17	-	9-Sep	chr17	+
A1BG	chr19	+	A1BG	chr19	-
A1CF	chr10	+	A1CF	chr10	-
A1CF	chr10	-	ANKDD1A	chr15	-
A2LD1	chr13	-	DCLK1	chr13	-
A2LD1	chr13	-	INCA1	chr17	-
A2M	chr12	+	A2M-AS1	chr12	-
A2M	chr12	-	A2M	chr12	+
A2M	chr12	-	AFMID	chr17	+
A2M	chr12	-	ARFGEF2	chr20	+
A2M	chr12	-	CCT5	chr5	+
A2M	chr12	-	CLEC2A	chr12	-
A2M	chr12	-	EPN2	chr17	+
A2M	chr12	-	FAR1	chr11	+
A2M	chr12	-	SERPINA1	chr14	-
A2M	chr12	-	TMEM52B	chr12	+
A2M-AS1	chr12	+	A2M	chr12	-
A2M-AS1	chr12	+	RSU1	chr10	+
A2M-AS1	chr12	-	CWC27	chr5	-
A2ML1	chr12	+	SNX29	chr16	+
AAAS	chr12	+	C15orf39	chr15	-
AAAS	chr12	+	FKBP6	chr7	+
AAAS	chr12	+	KDM2A	chr11	+
AAAS	chr12	+	ZNF414	chr19	+
AAAS	chr12	-	ATP5G2	chr12	-
AAAS	chr12	-	ITGB7	chr12	-
AAAS	chr12	-	MAOB	chrX	-
AACS	chr12	+	ADGRA1	chr10	+
AACS	chr12	+	DNAH10	chr12	+
AACS	chr12	+	MAL	chr2	+
AACS	chr12	+	TMEM132B	chr12	+
AACS	chr12	-	FBN1	chr15	+
AAGAB	chr15	-	AAGAB	chr15	-
AAGAB	chr15	-	SMAD3	chr15	+
AAK1	chr2	+	UBE2E2	chr3	-
AAK1	chr2	+	USP19	chr3	-
AAK1	chr2	-	C2orf42	chr2	-
AAK1	chr2	-	GALNT14	chr2	-
AAK1	chr2	-	KCMF1	chr2	+
AAK1	chr2	-	LHX2	chr9	+
AAK1	chr2	-	PDZRN4	chr12	+
AAK1	chr2	-	RPIA	chr2	+
AAK1	chr2	-	WFDC13	chr20	+
AAMDC	chr11	+	SCGB1D1	chr11	+
AAMDC	chr11	+	TMEM135	chr11	+
AAMP	chr2	-	4-Mar	chr2	-
AARS	chr16	+	ABR	chr17	+
AARS	chr16	+	GPX3	chr5	+
AARS	chr16	+	ITPR3	chr6	+
AARS	chr16	+	LHFP	chr13	+
AARS	chr16	-	AARS	chr16	-
AARS	chr16	-	COG4	chr16	-
AARS	chr16	-	HYDIN	chr16	-
AARS	chr16	-	PPP1R13B	chr14	-
AARS	chr16	-	ST3GAL2	chr16	-
AARS2	chr6	-	SPATS1	chr6	+
AARSD1	chr17	-	CCR7	chr17	-
AARSD1	chr17	-	CHRNB1	chr17	+
AARSD1	chr17	-	DIABLO	chr12	+
AARSD1	chr17	-	FBXL20	chr17	-
AARSD1	chr17	-	RGS9	chr17	+
AASDH	chr4	+	AASDH	chr4	+
AASDH	chr4	+	IRF3	chr19	+
AASDH	chr4	-	CC2D2A	chr4	+
AASDH	chr4	-	KIAA1211	chr4	+
AASDH	chr4	-	LRRC66	chr4	-
AASDHPPT	chr11	+	ABTB2	chr11	-
AASDHPPT	chr11	+	CARD16	chr11	-
AASS	chr7	-	ADGRF2	chr6	+
AASS	chr7	-	CADPS2	chr7	-
AASS	chr7	-	DNM3	chr1	+
AATF	chr17	+	ACACA	chr17	-
AATF	chr17	+	AP2B1	chr17	+
AATF	chr17	+	BCLAF1	chr6	-
AATF	chr17	+	DNAH2	chr17	+
AATF	chr17	+	FTL	chr19	+
AATF	chr17	+	GOSR2	chr17	+
AATF	chr17	+	LIG3	chr17	+
AATF	chr17	+	PCDH11X	chrX	+
AATF	chr17	+	TADA2A	chr17	+
AATF	chr17	+	UBE2G1	chr17	-
AATF	chr17	-	AATF	chr17	+
AATF	chr17	-	GABRR2	chr6	-
AATF	chr17	-	MPO	chr17	+
AATK	chr17	-	FOXP1	chr3	-
ABAT	chr16	+	C16orf62	chr16	+
ABAT	chr16	+	KIAA0430	chr16	-
ABAT	chr16	+	USP7	chr16	-
ABAT	chr16	-	PSMD12	chr17	+
ABAT	chr16	-	TEX37	chr2	+
ABCA1	chr9	-	EIF4E	chr4	-
ABCA1	chr9	-	HDHD3	chr9	-
ABCA1	chr9	-	HNRNPK	chr9	-
ABCA1	chr9	-	KCNMA1	chr10	-
ABCA1	chr9	-	LAS1L	chrX	-
ABCA1	chr9	-	NIPSNAP3B	chr9	+
ABCA1	chr9	-	PTGR1	chr9	-
ABCA1	chr9	-	RAB5C	chr17	-
ABCA1	chr9	-	ZBTB26	chr9	-
ABCA1	chr9	-	ZBTB6	chr9	-
ABCA1	chr9	-	ZNF483	chr9	+
ABCA10	chr17	-	LOC101928911	chr6	-
ABCA11P	chr4	+	CRLS1	chr20	-
ABCA11P	chr4	+	UBXN4	chr2	-
ABCA12	chr2	-	SGPP2	chr2	+
ABCA13	chr7	+	BLVRA	chr7	+
ABCA13	chr7	+	CAP1	chr1	+
ABCA13	chr7	+	VEPH1	chr3	+
ABCA13	chr7	-	ABCA13	chr7	+
ABCA13	chr7	-	C22orf34	chr22	+
ABCA2	chr9	-	ATP2B2	chr3	-
ABCA2	chr9	-	CHMP1A	chr16	-
ABCA2	chr9	-	HIRA	chr22	-
ABCA2	chr9	-	SYAP1	chrX	+
ABCA2	chr9	-	TRIM14	chr9	-
ABCA3	chr16	+	ABCA3	chr16	-
ABCA3	chr16	-	ABCA3	chr16	-
ABCA3	chr16	-	XRCC6BP1	chr12	+
ABCA4	chr1	-	MMACHC	chr1	-
ABCA5	chr17	+	APOL3	chr22	-
ABCA5	chr17	-	BCAS3	chr17	+
ABCA5	chr17	-	C17orf67	chr17	-
ABCA5	chr17	-	CENPP	chr9	+
ABCA5	chr17	-	MBTD1	chr17	-
ABCA5	chr17	-	WDR55	chr5	+
ABCA6	chr17	-	LIG3	chr17	+
ABCA6	chr17	-	LMNA	chr1	+
ABCA7	chr19	+	ABCA7	chr19	-
ABCA7	chr19	+	CIRBP	chr19	+
ABCA7	chr19	+	COL5A3	chr19	-
ABCA7	chr19	+	STK11	chr19	+
ABCA7	chr19	-	ZNF317	chr19	-
ABCA8	chr17	+	HMGCS1	chr5	+
ABCA9	chr17	-	CEP112	chr17	-
ABCA9	chr17	-	TANC2	chr17	+
ABCB4	chr7	-	TMEM169	chr2	+
ABCB6	chr2	+	ABCB6	chr2	-
ABCB7	chrX	-	ACSS2	chr20	+
ABCB8	chr7	+	ABCB8	chr7	+
ABCB8	chr7	+	IQCA1L	chr7	-
ABCB8	chr7	+	NOS3	chr7	+
ABCB9	chr12	-	EIF2B1	chr12	-
ABCB9	chr12	-	MPHOSPH9	chr12	-
ABCC1	chr16	+	DLGAP1	chr18	-
ABCC1	chr16	+	NDE1	chr16	+
ABCC1	chr16	+	PRKCB	chr16	+
ABCC1	chr16	-	ABCC1	chr16	+
ABCC1	chr16	-	FAM105A	chr5	+
ABCC1	chr16	-	LSP1	chr11	-
ABCC10	chr6	+	CUL9	chr6	+
ABCC10	chr6	+	MAN2A2	chr15	+
ABCC10	chr6	+	PGBD5	chr1	+
ABCC10	chr6	+	PPP2R5D	chr6	+
ABCC2	chr10	+	CTNNA3	chr10	-
ABCC2	chr10	+	SMIM4	chr3	+
ABCC2	chr10	+	TSPAN14	chr10	+
ABCC3	chr17	+	ABCC3	chr17	+
ABCC3	chr17	+	ACSF2	chr17	+
ABCC3	chr17	+	BCAN	chr1	+
ABCC3	chr17	+	DHDH	chr19	+
ABCC3	chr17	+	DLGAP2	chr8	-
ABCC3	chr17	+	KAT7	chr17	+
ABCC3	chr17	+	TMEM104	chr17	+
ABCC3	chr17	+	XYLT2	chr17	+
ABCC3	chr17	-	ABCC3	chr17	+
ABCC4	chr13	-	ABCB4	chr7	-
ABCC4	chr13	-	ABCC4	chr13	-
ABCC4	chr13	-	CCDC169	chr13	-
ABCC4	chr13	-	COL4A2	chr13	+
ABCC4	chr13	-	PTPN4	chr2	+
ABCC4	chr13	-	UGGT2	chr13	-
ABCC5	chr3	+	ATN1	chr12	+
ABCC5	chr3	-	ABCC5	chr1	+
ABCC5	chr3	-	ATP11B	chr3	+
ABCC5	chr3	-	DCUN1D1	chr3	-
ABCC5	chr3	-	NAALADL2	chr3	+
ABCC5	chr3	-	OR4G4P	chr1	+
ABCC5	chr3	-	SPRR4	chr1	+
ABCC5	chr3	-	TGFBI	chr5	+
ABCC5	chr3	-	TSPAN14	chr10	+
ABCC6	chr16	-	C16orf70	chr16	+
ABCC6	chr16	-	LTA4H	chr12	-
ABCC6	chr16	-	SEMA4G	chr10	+
ABCC8	chr11	-	ABCC8	chr11	-
ABCC9	chr12	-	DMKN	chr19	-
ABCC9	chr12	-	RASSF8	chr12	+
ABCD3	chr1	+	AK5	chr1	+
ABCD3	chr1	+	ARHGAP29	chr1	-
ABCD3	chr1	+	DPYD	chr1	-
ABCD3	chr1	+	EXOC4	chr7	+
ABCD3	chr1	+	RACK1	chr5	-
ABCD4	chr14	+	ACTN4	chr19	-
ABCD4	chr14	+	PRKCE	chr2	+
ABCD4	chr14	-	ELMSAN1	chr14	-
ABCE1	chr4	+	DDX39B	chr6	-
ABCE1	chr4	+	LOC100505666	chr1	+
ABCE1	chr4	+	ZNF827	chr4	-
ABCF1	chr6	+	LINC00641	chr14	-
ABCF1	chr6	+	ND6	chrMT	+
ABCF1	chr6	+	PRR3	chr6	+
ABCF1	chr6	+	SHC2	chr19	-
ABCF1	chr6	-	ABCF1	chr6	-
ABCF2	chr7	-	WDR86	chr7	-
ABCF3	chr3	+	PLEKHB2	chr2	+
ABCG1	chr21	+	BACE2	chr21	+
ABCG1	chr21	+	BTG3	chr21	-
ABCG1	chr21	+	CCDC134	chr22	+
ABCG1	chr21	+	MEI1	chr22	+
ABHD12	chr20	+	MEG3	chr14	+
ABHD12	chr20	-	ENTPD6	chr20	+
ABHD12	chr20	-	ERVFRD-1	chr6	-
ABHD12	chr20	-	GINS1	chr20	+
ABHD12	chr20	-	KIF16B	chr20	-
ABHD12	chr20	-	PPP2R2A	chr8	+
ABHD12	chr20	-	RAD21	chr8	-
ABHD12B	chr14	+	RNASE1	chr14	-
ABHD12B	chr14	-	KIFC1	chr6	+
ABHD14B	chr3	+	APLP1	chr19	+
ABHD14B	chr3	+	COL7A1	chr3	+
ABHD14B	chr3	-	CHST5	chr16	-
ABHD14B	chr3	-	POC1A	chr3	-
ABHD16A	chr6	+	ABCD4	chr14	+
ABHD16A	chr6	+	AGO1	chr1	-
ABHD16A	chr6	-	CLIC1	chr6	-
ABHD16A	chr6	-	LY6G6F	chr6	+
ABHD17A	chr19	-	ABHD17A	chr19	-
ABHD17A	chr19	-	AP3D1	chr19	-
ABHD17A	chr19	-	NDUFA7	chr19	-
ABHD17A	chr19	-	TCF3	chr19	-
ABHD17B	chr9	+	ABHD17B	chr9	-
ABHD17B	chr9	-	CCL25	chr19	+
ABHD17C	chr15	+	BHLHE41	chr12	-
ABHD17C	chr15	+	PRAMEF6	chr1	-
ABHD17C	chr15	+	PTOV1	chr19	-
ABHD18	chr4	+	SLC25A31	chr4	+
ABHD2	chr15	+	ACAN	chr15	+
ABHD2	chr15	+	BIRC6	chr2	+
ABHD2	chr15	+	NFX1	chr9	+
